,Unnamed: 0,name,artist_id,genres,followers,popularity,spotify_url
803,842,Chubby Checker,7qQJQ3YtcGlqaLg5tcypN2,"rock-and-roll, rockabilly",364566,56,https://open.spotify.com/artist/7qQJQ3YtcGlqaLg5tcypN2
804,843,Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,"rock-and-roll, rockabilly",320695,53,https://open.spotify.com/artist/3MFp4cYuYtTZe3d3xkLLbr
805,844,Chuck Berry,293zczrfYafIItmnmM3coR,"blues, blues rock, classic rock, rock, rock-and-roll, rockabilly, soul",2033761,67,https://open.spotify.com/artist/293zczrfYafIItmnmM3coR
806,845,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,"rock-and-roll, rockabilly",333686,52,https://open.spotify.com/artist/1p0t3JtUTayV2wb1RGN9mO
807,846,Buddy Holly & The Crickets,15jBNfRUPUgdZOTSaNoF5l,"rock-and-roll, rockabilly",328449,40,https://open.spotify.com/artist/15jBNfRUPUgdZOTSaNoF5l
808,847,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,"classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter",1340611,57,https://open.spotify.com/artist/3wYyutjgII8LJVVOLrGI0D
809,849,Carl Perkins,5hIClg6noTaCzMu2s5wp4f,"rock-and-roll, rockabilly",180552,45,https://open.spotify.com/artist/5hIClg6noTaCzMu2s5wp4f
810,850,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,"acoustic blues, blues, chicago blues, electric blues, rock-and-roll, rockabilly, traditional blues",322229,47,https://open.spotify.com/artist/2bmixwMZXlkl2sbIbOfviq
811,851,Ritchie Valens,5Y9xEAGW4GwGJgbiI6W85P,"rock-and-roll, rockabilly",603448,62,https://open.spotify.com/artist/5Y9xEAGW4GwGJgbiI6W85P
812,852,Bill Haley,2XBzvyw3fwtZu4iUz12x0G,"rock-and-roll, rockabilly",107970,33,https://open.spotify.com/artist/2XBzvyw3fwtZu4iUz12x0G
813,853,Gene Vincent,5VAHm7V5mnsxvQrWw3KHmx,"rock-and-roll, rockabilly",140503,39,https://open.spotify.com/artist/5VAHm7V5mnsxvQrWw3KHmx
